State,Year,Quarter,Entity_type,Registered_users,District&pincode.1,id
Andaman & Nicobar Island,2019,Q3,pincode,975,744104,35
Andaman & Nicobar Island,2019,Q3,pincode,885,744107,35
Andaman & Nicobar Island,2019,Q3,pincode,765,744112,35
Andaman & Nicobar Island,2019,Q3,pincode,701,744211,35
Andaman & Nicobar Island,2019,Q3,pincode,575,744301,35
Andaman & Nicobar Island,2019,Q4,district,22202,South Andaman,35
Andaman & Nicobar Island,2019,Q4,district,2955,North And Middle Andaman,35
Andaman & Nicobar Island,2019,Q4,district,803,Nicobars,35
Andaman & Nicobar Island,2019,Q4,pincode,5637,744103,35
Andaman & Nicobar Island,2019,Q4,pincode,4321,744101,35
Andaman & Nicobar Island,2019,Q4,pincode,4277,744105,35
Andaman & Nicobar Island,2019,Q4,pincode,3485,744102,35
Andaman & Nicobar Island,2019,Q4,pincode,1087,744202,35
Andaman & Nicobar Island,2019,Q4,pincode,1062,744104,35
Andaman & Nicobar Island,2019,Q4,pincode,953,744107,35
Andaman & Nicobar Island,2019,Q4,pincode,812,744112,35
Andaman & Nicobar Island,2019,Q4,pincode,783,744211,35
Andaman & Nicobar Island,2019,Q4,pincode,611,744301,35
Andaman & Nicobar Island,2020,Q1,district,24174,South Andaman,35
Andaman & Nicobar Island,2020,Q1,district,3315,North And Middle Andaman,35
Andaman & Nicobar Island,2020,Q1,district,879,Nicobars,35
Andaman & Nicobar Island,2020,Q1,pincode,6108,744103,35
Andaman & Nicobar Island,2020,Q1,pincode,4689,744101,35
Andaman & Nicobar Island,2020,Q1,pincode,4684,744105,35
Andaman & Nicobar Island,2020,Q1,pincode,3727,744102,35
Andaman & Nicobar Island,2020,Q1,pincode,1216,744202,35
Andaman & Nicobar Island,2020,Q1,pincode,1154,744104,35
Andaman & Nicobar Island,2020,Q1,pincode,1062,744107,35
Andaman & Nicobar Island,2020,Q1,pincode,889,744112,35
Andaman & Nicobar Island,2020,Q1,pincode,886,744211,35
Andaman & Nicobar Island,2020,Q1,pincode,669,744301,35
Andaman & Nicobar Island,2020,Q2,district,27626,South Andaman,35
Andaman & Nicobar Island,2020,Q2,district,4100,North And Middle Andaman,35
Andaman & Nicobar Island,2020,Q2,district,984,Nicobars,35
Andaman & Nicobar Island,2020,Q2,pincode,6804,744103,35
Andaman & Nicobar Island,2020,Q2,pincode,5479,744105,35
Andaman & Nicobar Island,2020,Q2,pincode,5365,744101,35
Andaman & Nicobar Island,2020,Q2,pincode,4066,744102,35
Andaman & Nicobar Island,2020,Q2,pincode,1475,744202,35
Andaman & Nicobar Island,2020,Q2,pincode,1333,744104,35
Andaman & Nicobar Island,2020,Q2,pincode,1252,744107,35
Andaman & Nicobar Island,2020,Q2,pincode,1039,744112,35
Andaman & Nicobar Island,2020,Q2,pincode,1036,744211,35
Andaman & Nicobar Island,2020,Q2,pincode,806,744205,35
Andaman & Nicobar Island,2020,Q3,district,34833,South Andaman,35
Andaman & Nicobar Island,2020,Q3,district,5355,North And Middle Andaman,35
Andaman & Nicobar Island,2020,Q3,district,1147,Nicobars,35
Andaman & Nicobar Island,2020,Q3,pincode,8318,744103,35
Andaman & Nicobar Island,2020,Q3,pincode,7007,744105,35
Andaman & Nicobar Island,2020,Q3,pincode,6881,744101,35
Andaman & Nicobar Island,2020,Q3,pincode,4919,744102,35
Andaman & Nicobar Island,2020,Q3,pincode,1965,744202,35
Andaman & Nicobar Island,2020,Q3,pincode,1718,744104,35
Andaman & Nicobar Island,2020,Q3,pincode,1710,744107,35
Andaman & Nicobar Island,2020,Q3,pincode,1372,744112,35
Andaman & Nicobar Island,2020,Q3,pincode,1279,744211,35
Andaman & Nicobar Island,2020,Q3,pincode,1008,744205,35
Andaman & Nicobar Island,2020,Q4,district,43908,South Andaman,35
Andaman & Nicobar Island,2020,Q4,district,7076,North And Middle Andaman,35
Andaman & Nicobar Island,2020,Q4,district,1412,Nicobars,35
Andaman & Nicobar Island,2020,Q4,pincode,10408,744103,35
Andaman & Nicobar Island,2020,Q4,pincode,8962,744105,35
Andaman & Nicobar Island,2020,Q4,pincode,8593,744101,35
Andaman & Nicobar Island,2020,Q4,pincode,5882,744102,35
Andaman & Nicobar Island,2020,Q4,pincode,2711,744202,35
Andaman & Nicobar Island,2020,Q4,pincode,2346,744107,35
Andaman & Nicobar Island,2020,Q4,pincode,2167,744104,35
Andaman & Nicobar Island,2020,Q4,pincode,1761,744112,35
Andaman & Nicobar Island,2020,Q4,pincode,1579,744211,35
Andaman & Nicobar Island,2020,Q4,pincode,1346,744205,35
Andaman & Nicobar Island,2021,Q1,district,48352,South Andaman,35
Andaman & Nicobar Island,2021,Q1,district,7833,North And Middle Andaman,35
Andaman & Nicobar Island,2021,Q1,district,1573,Nicobars,35
Andaman & Nicobar Island,2021,Q1,pincode,11416,744103,35
Andaman & Nicobar Island,2021,Q1,pincode,9934,744105,35
Andaman & Nicobar Island,2021,Q1,pincode,9457,744101,35
Andaman & Nicobar Island,2021,Q1,pincode,6395,744102,35
Andaman & Nicobar Island,2021,Q1,pincode,3005,744202,35
Andaman & Nicobar Island,2021,Q1,pincode,2586,744107,35
Andaman & Nicobar Island,2021,Q1,pincode,2383,744104,35
Andaman & Nicobar Island,2021,Q1,pincode,1940,744112,35
Andaman & Nicobar Island,2021,Q1,pincode,1774,744211,35
Andaman & Nicobar Island,2021,Q1,pincode,1505,744205,35
Andaman & Nicobar Island,2021,Q2,district,51903,South Andaman,35
Andaman & Nicobar Island,2021,Q2,district,8493,North And Middle Andaman,35
Andaman & Nicobar Island,2021,Q2,district,1699,Nicobars,35
Andaman & Nicobar Island,2021,Q2,pincode,12268,744103,35
Andaman & Nicobar Island,2021,Q2,pincode,10668,744105,35
Andaman & Nicobar Island,2021,Q2,pincode,10120,744101,35
Andaman & Nicobar Island,2021,Q2,pincode,6837,744102,35
Andaman & Nicobar Island,2021,Q2,pincode,3261,744202,35
Andaman & Nicobar Island,2021,Q2,pincode,2783,744107,35
Andaman & Nicobar Island,2021,Q2,pincode,2573,744104,35
Andaman & Nicobar Island,2021,Q2,pincode,2083,744112,35
Andaman & Nicobar Island,2021,Q2,pincode,1904,744211,35
Andaman & Nicobar Island,2021,Q2,pincode,1626,744205,35
Andaman & Nicobar Island,2021,Q3,district,55873,South Andaman,35
Andaman & Nicobar Island,2021,Q3,district,9263,North And Middle Andaman,35
Andaman & Nicobar Island,2021,Q3,district,1846,Nicobars,35
Andaman & Nicobar Island,2021,Q3,pincode,13198,744103,35
Andaman & Nicobar Island,2021,Q3,pincode,11480,744105,35
Andaman & Nicobar Island,2021,Q3,pincode,10866,744101,35
Andaman & Nicobar Island,2021,Q3,pincode,7313,744102,35
Andaman & Nicobar Island,2021,Q3,pincode,3543,744202,35
Andaman & Nicobar Island,2021,Q3,pincode,3027,744107,35
Andaman & Nicobar Island,2021,Q3,pincode,2777,744104,35
Andaman & Nicobar Island,2021,Q3,pincode,2250,744112,35
Andaman & Nicobar Island,2021,Q3,pincode,2055,744211,35
