,State,Year,Quater,District,Transaction_count,Transaction_amount,id
64,Andhra Pradesh,2018,Q1,Visakhapatnam District,1256469,1749966196.5049946,28
65,Andhra Pradesh,2018,Q1,Prakasam District,534757,748990775.8676485,28
66,Andhra Pradesh,2018,Q1,Anantapur District,638664,788830646.0324218,28
67,Andhra Pradesh,2018,Q1,Ysr District,487333,681481931.0936775,28
68,Andhra Pradesh,2018,Q1,West Godavari District,577090,853547668.7532666,28
69,Andhra Pradesh,2018,Q1,Kurnool District,679623,764905298.7350456,28
70,Andhra Pradesh,2018,Q1,Chittoor District,830324,1009621878.0870512,28
71,Andhra Pradesh,2018,Q1,Guntur District,815932,1108686589.0266829,28
72,Andhra Pradesh,2018,Q1,Krishna District,863935,1284255179.61562,28
73,Andhra Pradesh,2018,Q2,East Godavari District,1221677,2168914928.4239016,28
74,Andhra Pradesh,2018,Q2,Srikakulam District,559868,929392017.3670052,28
75,Andhra Pradesh,2018,Q2,Spsr Nellore District,780454,1542057934.0108962,28
76,Andhra Pradesh,2018,Q2,Vizianagaram District,529588,811711367.5080048,28
77,Andhra Pradesh,2018,Q2,Visakhapatnam District,1641192,2987853607.293909,28
78,Andhra Pradesh,2018,Q2,Prakasam District,739991,1571167562.1276276,28
79,Andhra Pradesh,2018,Q2,Anantapur District,937023,1690366079.0557928,28
80,Andhra Pradesh,2018,Q2,Ysr District,690842,1415500367.6861844,28
81,Andhra Pradesh,2018,Q2,West Godavari District,786033,1688025212.3045945,28
82,Andhra Pradesh,2018,Q2,Kurnool District,968439,1531888665.6843233,28
83,Andhra Pradesh,2018,Q2,Chittoor District,1185723,1990419125.893712,28
84,Andhra Pradesh,2018,Q2,Guntur District,1088101,2108475811.785997,28
85,Andhra Pradesh,2018,Q2,Krishna District,1224987,2448141593.4919834,28
86,Andhra Pradesh,2018,Q3,East Godavari District,3226907,3551247095.307447,28
87,Andhra Pradesh,2018,Q3,Srikakulam District,1073883,1318322236.598471,28
88,Andhra Pradesh,2018,Q3,Spsr Nellore District,1308890,2215938596.185108,28
89,Andhra Pradesh,2018,Q3,Vizianagaram District,970132,1163546006.895916,28
90,Andhra Pradesh,2018,Q3,Visakhapatnam District,3394576,4821892253.393524,28
91,Andhra Pradesh,2018,Q3,Prakasam District,1319651,2346453445.483843,28
92,Andhra Pradesh,2018,Q3,Anantapur District,1815215,2681787750.464165,28
93,Andhra Pradesh,2018,Q3,Ysr District,1557444,2235904512.2542048,28
94,Andhra Pradesh,2018,Q3,West Godavari District,1431282,2309078492.8058147,28
95,Andhra Pradesh,2018,Q3,Kurnool District,2921189,2908389261.539773,28
96,Andhra Pradesh,2018,Q3,Chittoor District,2297429,3283517630.720593,28
97,Andhra Pradesh,2018,Q3,Guntur District,1912529,3127764663.180438,28
98,Andhra Pradesh,2018,Q3,Krishna District,2396934,3754202654.384461,28
99,Andhra Pradesh,2018,Q4,East Godavari District,3052762,4652624623.436675,28
100,Andhra Pradesh,2018,Q4,Srikakulam District,1252807,1870278609.504549,28
101,Andhra Pradesh,2018,Q4,Spsr Nellore District,1814997,3293448556.9734454,28
102,Andhra Pradesh,2018,Q4,Vizianagaram District,1386787,1817673252.541777,28
103,Andhra Pradesh,2018,Q4,Visakhapatnam District,4791421,7366635864.849373,28
104,Andhra Pradesh,2018,Q4,Prakasam District,1692862,3255254226.03728,28
105,Andhra Pradesh,2018,Q4,Anantapur District,2286391,3975878156.329829,28
106,Andhra Pradesh,2018,Q4,Ysr District,1732527,3252340063.2478595,28
