,State,Year,Quater,District,Registered_user,App_opening,id
74,Andhra Pradesh,2018,Q2,Srikakulam District,186913,0,28
75,Andhra Pradesh,2018,Q2,Visakhapatnam District,636052,0,28
76,Andhra Pradesh,2018,Q2,Prakasam District,253458,0,28
77,Andhra Pradesh,2018,Q2,Anantapur District,326383,0,28
78,Andhra Pradesh,2018,Q2,Kurnool District,319313,0,28
79,Andhra Pradesh,2018,Q2,Guntur District,420326,0,28
80,Andhra Pradesh,2018,Q2,Krishna District,431965,0,28
81,Andhra Pradesh,2018,Q2,Spsr Nellore District,261049,0,28
82,Andhra Pradesh,2018,Q2,Vizianagaram District,167327,0,28
83,Andhra Pradesh,2018,Q2,Ysr District,248657,0,28
84,Andhra Pradesh,2018,Q2,West Godavari District,282393,0,28
85,Andhra Pradesh,2018,Q2,Chittoor District,414306,0,28
86,Andhra Pradesh,2018,Q3,East Godavari District,558982,0,28
87,Andhra Pradesh,2018,Q3,Srikakulam District,228456,0,28
88,Andhra Pradesh,2018,Q3,Visakhapatnam District,769096,0,28
89,Andhra Pradesh,2018,Q3,Prakasam District,314899,0,28
90,Andhra Pradesh,2018,Q3,Anantapur District,405855,0,28
91,Andhra Pradesh,2018,Q3,Kurnool District,394311,0,28
92,Andhra Pradesh,2018,Q3,Guntur District,518931,0,28
93,Andhra Pradesh,2018,Q3,Krishna District,537086,0,28
94,Andhra Pradesh,2018,Q3,Spsr Nellore District,322446,0,28
95,Andhra Pradesh,2018,Q3,Vizianagaram District,203655,0,28
96,Andhra Pradesh,2018,Q3,Ysr District,308391,0,28
97,Andhra Pradesh,2018,Q3,West Godavari District,349782,0,28
98,Andhra Pradesh,2018,Q3,Chittoor District,515727,0,28
99,Andhra Pradesh,2018,Q4,East Godavari District,694455,0,28
100,Andhra Pradesh,2018,Q4,Srikakulam District,284874,0,28
101,Andhra Pradesh,2018,Q4,Visakhapatnam District,978288,0,28
102,Andhra Pradesh,2018,Q4,Prakasam District,394962,0,28
103,Andhra Pradesh,2018,Q4,Anantapur District,510892,0,28
104,Andhra Pradesh,2018,Q4,Kurnool District,498582,0,28
105,Andhra Pradesh,2018,Q4,Guntur District,659552,0,28
106,Andhra Pradesh,2018,Q4,Krishna District,682479,0,28
107,Andhra Pradesh,2018,Q4,Spsr Nellore District,407495,0,28
108,Andhra Pradesh,2018,Q4,Vizianagaram District,257824,0,28
109,Andhra Pradesh,2018,Q4,Ysr District,387058,0,28
110,Andhra Pradesh,2018,Q4,West Godavari District,435668,0,28
111,Andhra Pradesh,2018,Q4,Chittoor District,665280,0,28
112,Andhra Pradesh,2019,Q1,East Godavari District,839277,0,28
113,Andhra Pradesh,2019,Q1,Srikakulam District,345775,0,28
114,Andhra Pradesh,2019,Q1,Visakhapatnam District,1174517,0,28
115,Andhra Pradesh,2019,Q1,Prakasam District,474260,0,28
116,Andhra Pradesh,2019,Q1,Anantapur District,612162,0,28
117,Andhra Pradesh,2019,Q1,Kurnool District,599422,0,28
118,Andhra Pradesh,2019,Q1,Guntur District,802394,0,28
119,Andhra Pradesh,2019,Q1,Krishna District,833694,0,28
120,Andhra Pradesh,2019,Q1,Spsr Nellore District,491908,0,28
121,Andhra Pradesh,2019,Q1,Vizianagaram District,313334,0,28
122,Andhra Pradesh,2019,Q1,Ysr District,460590,0,28
123,Andhra Pradesh,2019,Q1,West Godavari District,523372,0,28
124,Andhra Pradesh,2019,Q1,Chittoor District,812314,0,28
125,Andhra Pradesh,2019,Q2,East Godavari District,945181,7156762,28
126,Andhra Pradesh,2019,Q2,Srikakulam District,392764,3230330,28
127,Andhra Pradesh,2019,Q2,Visakhapatnam District,1318740,13681907,28
128,Andhra Pradesh,2019,Q2,Prakasam District,539462,4488365,28
129,Andhra Pradesh,2019,Q2,Anantapur District,695114,6056591,28
130,Andhra Pradesh,2019,Q2,Kurnool District,680118,6240480,28
131,Andhra Pradesh,2019,Q2,Guntur District,915256,7268875,28
132,Andhra Pradesh,2019,Q2,Krishna District,952300,7822632,28
133,Andhra Pradesh,2019,Q2,Spsr Nellore District,558303,4774473,28
134,Andhra Pradesh,2019,Q2,Vizianagaram District,355058,3541678,28
135,Andhra Pradesh,2019,Q2,Ysr District,519031,4345848,28
136,Andhra Pradesh,2019,Q2,West Godavari District,592185,3853094,28
137,Andhra Pradesh,2019,Q2,Chittoor District,925491,8914216,28
138,Andhra Pradesh,2019,Q3,East Godavari District,1057167,28275322,28
